,,,,
,,,,
,,,,
Name,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror
Date,10/28/2014,10/28/2014,10/28/2014,10/28/2014
Time,15:18pm,15:12pm,15:16pm,15:18pm
T_int [ms],6913,6515,24,6913
,,,,
Lv [cd/sqm],1.743E+00,1.676E+00,2.546E+02,1.743E+00
Le [W/(sr*sqm)] (380-780nm),5.631E-03,5.522E-03,9.828E-01,5.631E-03
CCT [K],6726,7316,9704,6726
DWl [nm],486.1,483.8,470.9,486.1
PE [%],8.8,12.2,20.9,8.8
,,,,
Chrom. Coord.,,,,
x,0.3095,0.3017,0.2891,0.3095
y,0.3232,0.3150,0.2765,0.3232
u',0.1978,0.1954,0.2014,0.1978
v',0.4647,0.4590,0.4335,0.4647
,,,,
CIE 13.3-1995 CRI,,,,
Ref. Illum.,Daylight 5000-7000K,Daylight >7000K,Daylight >7000K,Daylight 5000-7000K
CCT [K],6726,7316,9704,6726
R1,72.1,70.2,82.4,72.1
R2,74.9,72.8,75.3,74.9
R3,75.5,73.1,65.3,75.5
R4,74.9,73.2,80.2,74.9
R5,73.6,72.1,82.9,73.6
R6,67.1,64.8,66.6,67.1
R7,79.7,78.4,77.8,79.7
R8,63.3,62.3,76.1,63.3
R9,-22.4,-29.5,19.2,-22.4
R10,39.1,34.1,37.1,39.1
R11,74.2,72.6,85.2,74.2
R12,46.0,43.7,49.7,46.0
R13,71.6,69.5,78.0,71.6
R14,86.1,84.7,79.9,86.1
R15,66.4,64.4,81.1,66.4
Ra,72.64,70.85,75.83,72.64
DC,1.4E-03,1.1E-03,1.5E-02,1.4E-03
,,,,
PAR,,,,
Begin [nm],400,400,400,400
End [nm],700,700,700,700
Ephot [umol/s sqm],0.0242,0.0234,3.9403,0.0242
,,,,
Circadian,,,,
Lec [W/sr*sqm],0.002,0.002,0.396,0.002
acv,0.819,0.865,1.061,0.819
CCT [K],6726,7316,9704,6726
,,,,
LED Values,,,,
Peak WL [nm],372.0,371.0,371.0,372.0
Peak FWHM [nm],11.6,11.2,11.6,11.6
Centroid WL [nm],510.2,497.1,465.0,510.2
,,,,
RGB Values,,,,
RGB Space,manual,manual,manual,manual
R,1.5,1.3,213.6,1.5
G,1.8,1.7,261.5,1.8
B,2.0,2.0,401.3,2.0
,,,,
,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
380 nm,2.25258E-05,3.36019E-05,1.43672E-02,2.25258E-05
381 nm,1.94427E-05,2.70845E-05,1.20216E-02,1.94427E-05
382 nm,1.55053E-05,2.27768E-05,9.82339E-03,1.55053E-05
383 nm,1.33514E-05,1.73932E-05,7.94125E-03,1.33514E-05
384 nm,1.10179E-05,1.46775E-05,6.60583E-03,1.10179E-05
385 nm,7.96260E-06,1.17467E-05,5.26145E-03,7.96260E-06
386 nm,7.02720E-06,9.36850E-06,4.14112E-03,7.02720E-06
387 nm,5.00659E-06,7.04642E-06,3.22754E-03,5.00659E-06
388 nm,3.82878E-06,5.67855E-06,2.58754E-03,3.82878E-06
389 nm,3.16646E-06,4.58867E-06,1.94007E-03,3.16646E-06
390 nm,2.25541E-06,2.93910E-06,1.41745E-03,2.25541E-06
391 nm,1.79669E-06,2.34988E-06,1.14986E-03,1.79669E-06
392 nm,1.34594E-06,2.13771E-06,8.79209E-04,1.34594E-06
393 nm,1.42044E-06,1.74018E-06,6.49586E-04,1.42044E-06
394 nm,1.21525E-06,1.32763E-06,4.82691E-04,1.21525E-06
395 nm,4.94591E-07,8.32228E-07,4.28180E-04,4.94591E-07
396 nm,9.96662E-07,1.05161E-06,2.72275E-04,9.96662E-07
397 nm,5.23209E-07,8.56858E-07,2.79736E-04,5.23209E-07
398 nm,6.09318E-07,6.67363E-07,2.16848E-04,6.09318E-07
399 nm,1.11149E-06,6.88454E-07,2.15007E-04,1.11149E-06
400 nm,5.84442E-07,1.29655E-06,2.10834E-04,5.84442E-07
