,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Name,100,90,80,70,60,50,40,30,20,10,0,n10,n20,n30,n40,n50,n60,n70,n80,n90,n100
Date,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014
Time,11:42am,11:45am,11:46am,11:47am,11:47am,11:48am,11:49am,11:50am,11:50am,11:51am,11:51am,11:52am,11:52am,11:53am,11:54am,11:55am,11:55am,11:56am,11:57am,11:59am,12:00pm
T_int [ms],244,253,274,286,305,321,339,358,383,410,437,476,513,572,637,705,824,976,1000,1463,1974
,,,,,,,,,,,,,,,,,,,,,
Lv [cd/sqm],1.988E+01,1.902E+01,1.803E+01,1.719E+01,1.635E+01,1.532E+01,1.447E+01,1.361E+01,1.265E+01,1.179E+01,1.116E+01,1.031E+01,9.468E+00,8.472E+00,7.628E+00,6.783E+00,5.820E+00,4.969E+00,4.131E+00,3.137E+00,2.301E+00
Le [W/(sr*sqm)] (380-780nm),9.305E-02,8.905E-02,8.438E-02,8.047E-02,7.651E-02,7.173E-02,6.778E-02,6.374E-02,5.925E-02,5.523E-02,5.225E-02,4.831E-02,4.434E-02,3.969E-02,3.575E-02,3.179E-02,2.728E-02,2.330E-02,1.939E-02,1.476E-02,1.086E-02
CCT [K],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DWl [nm],443.7,443.6,443.6,443.7,443.7,443.6,443.6,443.8,443.7,443.7,444.4,444.3,444.6,444.6,444.8,444.9,445.4,445.8,446.1,447.0,448.1
PE [%],39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.8,39.8,39.8,39.8,39.9,39.9,40.0,40.0,40.2,40.5,40.8
,,,,,,,,,,,,,,,,,,,,,
Chrom. Coord.,,,,,,,,,,,,,,,,,,,,,
x,0.2654,0.2654,0.2654,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2653,0.2650,0.2651,0.2650,0.2649,0.2647,0.2647,0.2644,0.2642,0.2638,0.2630,0.2620
y,0.2062,0.2062,0.2062,0.2061,0.2062,0.2061,0.2061,0.2061,0.2060,0.2061,0.2061,0.2061,0.2061,0.2060,0.2059,0.2059,0.2058,0.2057,0.2054,0.2046,0.2039
u',0.2147,0.2148,0.2148,0.2147,0.2147,0.2148,0.2147,0.2147,0.2147,0.2147,0.2145,0.2145,0.2144,0.2144,0.2143,0.2143,0.2140,0.2139,0.2138,0.2134,0.2129
v',0.3754,0.3754,0.3754,0.3753,0.3753,0.3753,0.3753,0.3753,0.3752,0.3753,0.3753,0.3752,0.3753,0.3751,0.3750,0.3750,0.3749,0.3748,0.3744,0.3736,0.3728
,,,,,,,,,,,,,,,,,,,,,
LED Values,,,,,,,,,,,,,,,,,,,,,
Peak WL [nm],457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0
Peak FWHM [nm],22.4,22.5,22.4,22.3,22.4,22.4,22.5,22.4,22.4,22.4,22.4,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.3,22.2
Centroid WL [nm],518.5,518.4,518.5,518.4,518.4,518.4,518.4,518.4,518.3,518.4,518.4,518.4,518.3,518.3,518.1,518.2,518.0,518.1,517.9,517.7,517.3
,,,,,,,,,,,,,,,,,,,,,
RGB Values,,,,,,,,,,,,,,,,,,,,,
RGB Space,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual
R,18.8,18.0,17.0,16.2,15.4,14.5,13.7,12.9,12.0,11.1,10.5,9.7,8.9,8.0,7.2,6.4,5.4,4.6,3.8,2.9,2.1
G,19.7,18.8,17.9,17.0,16.2,15.2,14.3,13.5,12.5,11.7,11.1,10.2,9.4,8.4,7.6,6.7,5.8,4.9,4.1,3.1,2.3
B,51.2,49.1,46.5,44.3,42.2,39.5,37.3,35.1,32.7,30.4,28.8,26.6,24.4,21.9,19.7,17.5,15.1,12.9,10.7,8.2,6.1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
380 nm,2.86005E-06,2.01014E-06,3.71754E-06,9.98699E-07,1.61359E-06,1.84805E-06,2.81860E-06,1.49465E-06,9.61015E-07,2.00747E-06,1.78496E-06,5.15950E-07,1.34271E-06,1.03117E-07,4.84574E-07,1.07767E-06,8.58990E-07,1.02610E-06,8.40947E-07,4.35698E-09,2.90010E-07
381 nm,3.18993E-06,2.65419E-06,2.29920E-06,1.19674E-06,1.33740E-06,2.58488E-06,1.98907E-06,1.52182E-06,1.48505E-06,1.73068E-06,1.47306E-06,2.07519E-06,8.71187E-07,6.60403E-07,9.21474E-07,1.61239E-06,5.93265E-07,2.62339E-07,7.69663E-07,1.60599E-07,3.37591E-07
382 nm,1.88097E-06,2.31857E-06,2.26485E-06,9.03996E-07,2.31053E-06,1.67998E-06,1.13834E-06,1.39227E-06,3.62050E-07,1.59081E-06,7.24524E-07,1.31510E-06,9.69913E-07,1.21208E-06,5.79374E-07,4.23839E-07,5.44717E-07,7.26891E-07,1.48836E-07,4.00126E-07,0.00000E+00
383 nm,2.78549E-06,2.12332E-06,2.81419E-06,3.54923E-06,1.56548E-06,1.65957E-06,2.69227E-06,2.34853E-06,2.58378E-06,1.74735E-06,9.89216E-07,1.35326E-06,1.43765E-06,1.11626E-06,2.53116E-07,1.03380E-06,3.72741E-07,6.32327E-07,4.88720E-07,8.76242E-07,7.20941E-07
384 nm,3.31527E-06,1.75485E-06,1.83107E-06,1.59809E-06,2.10017E-06,6.19812E-07,6.01003E-07,2.11690E-06,2.30362E-06,2.13841E-06,1.50902E-06,5.11137E-07,1.33262E-06,6.97799E-07,1.41318E-06,1.34031E-06,4.44669E-07,0.00000E+00,4.48875E-07,5.53977E-07,1.98752E-07
385 nm,2.23953E-06,3.33241E-06,1.44049E-06,1.94971E-06,3.40246E-07,1.91761E-06,2.84295E-06,8.99694E-07,2.41724E-06,1.18503E-06,1.69242E-06,1.08876E-06,6.37639E-07,1.37703E-07,1.45481E-06,1.31662E-06,1.18431E-06,5.67404E-07,2.34880E-07,0.00000E+00,5.31560E-07
386 nm,2.42093E-06,2.49480E-06,2.44026E-06,2.25044E-06,2.53973E-06,1.04384E-06,2.65170E-06,1.71458E-06,1.03921E-06,1.74978E-06,1.38563E-06,9.59516E-07,1.52722E-06,1.53097E-06,1.34420E-06,4.69955E-07,5.14991E-07,5.21500E-07,7.54410E-07,5.10251E-07,1.78318E-07
387 nm,1.46181E-06,2.92370E-06,2.35779E-06,2.67510E-06,7.00573E-07,1.85257E-06,9.30169E-07,1.43884E-06,1.83192E-06,1.32287E-06,2.14733E-06,2.03484E-06,1.32643E-06,1.07106E-06,1.19985E-06,8.40057E-07,3.50000E-07,5.68215E-07,9.52272E-07,7.97623E-07,6.19169E-08
388 nm,1.97780E-06,2.22635E-06,1.68411E-06,8.89033E-07,2.23215E-06,1.89385E-06,1.91099E-06,1.54239E-06,1.48690E-06,2.16532E-06,1.44915E-06,1.94672E-06,1.88682E-06,7.70898E-07,6.46761E-07,1.10060E-06,4.32858E-07,3.63271E-07,6.51375E-07,2.29787E-07,5.58842E-07
389 nm,2.68560E-06,2.32083E-06,2.68891E-06,3.44941E-06,2.72423E-06,3.11471E-06,3.22875E-06,1.17244E-06,2.20980E-06,1.56261E-06,1.77678E-06,1.38596E-06,1.66156E-06,5.82357E-07,1.21098E-06,9.30125E-07,1.33397E-06,6.16157E-07,5.87850E-07,7.78554E-07,3.00096E-07
390 nm,1.64813E-06,2.85091E-06,2.74700E-06,2.33971E-06,3.67323E-06,2.25179E-06,2.33337E-06,2.83450E-06,2.27291E-06,2.05337E-06,4.85744E-07,1.24031E-06,1.68861E-06,1.20655E-06,1.34366E-06,1.05583E-06,8.23640E-07,6.97511E-07,8.64438E-07,5.93625E-07,2.62011E-07
391 nm,2.78338E-06,1.75671E-06,2.81561E-06,3.37510E-06,1.99188E-06,2.48783E-06,1.96698E-06,9.53212E-07,1.39499E-06,9.16610E-07,1.42775E-06,2.34759E-06,1.42974E-06,1.04371E-06,4.84092E-07,1.16798E-06,1.10826E-06,9.64486E-07,5.73018E-07,8.20781E-07,2.31608E-07
392 nm,3.41134E-06,2.20375E-06,2.76520E-06,2.23146E-06,1.37530E-06,2.50006E-06,2.76409E-06,2.91846E-06,1.35015E-06,2.42116E-06,1.43305E-06,1.40527E-06,1.85165E-06,1.97451E-06,1.91769E-06,1.12287E-06,8.64860E-07,8.28381E-07,5.45861E-07,3.59556E-07,6.30715E-07
393 nm,2.01057E-06,3.13152E-06,3.48156E-06,3.23745E-06,2.63076E-06,2.74138E-06,2.86888E-06,2.04347E-06,1.61579E-06,2.22078E-06,1.72303E-06,1.79488E-06,1.49462E-06,1.32509E-06,1.20579E-06,1.41199E-06,1.27210E-06,9.40737E-07,5.00147E-07,1.46007E-07,2.53150E-07
394 nm,2.36053E-06,2.96575E-06,2.93126E-06,1.93033E-06,3.21350E-06,2.53177E-06,1.96380E-06,2.13444E-06,2.25713E-06,2.83576E-06,1.76439E-06,2.02283E-06,2.13957E-06,1.81709E-06,1.49514E-06,7.37961E-07,7.73372E-07,8.17318E-07,7.32646E-07,4.09159E-07,2.04669E-07
395 nm,2.93928E-06,4.04942E-06,2.92491E-06,2.94315E-06,2.59951E-06,2.50668E-06,2.02467E-06,2.28002E-06,1.03134E-06,2.16108E-06,1.94569E-06,1.61824E-06,2.20685E-06,2.40939E-06,1.54906E-06,1.37238E-06,1.00969E-06,6.64194E-07,6.57007E-07,9.95775E-07,5.48530E-07
396 nm,2.13666E-06,4.20186E-06,2.93613E-06,3.52763E-06,2.81106E-06,3.55087E-06,2.58595E-06,3.04253E-06,2.52304E-06,2.87633E-06,1.79673E-06,1.74642E-06,1.56077E-06,1.08194E-06,5.12981E-07,3.60343E-07,7.04073E-07,9.89364E-07,6.74530E-07,6.20032E-07,5.97122E-07
397 nm,4.79907E-06,2.41581E-06,3.09628E-06,3.80051E-06,2.71209E-06,2.57545E-06,2.71398E-06,2.99391E-06,1.96471E-06,2.43263E-06,1.60046E-06,1.75389E-06,1.54954E-06,2.16205E-06,1.54484E-06,1.14958E-06,1.13661E-06,9.90314E-07,5.30433E-07,2.22566E-07,6.59263E-07
398 nm,4.01529E-06,3.03800E-06,2.54867E-06,3.46526E-06,3.24715E-06,2.17548E-06,3.57733E-06,2.54435E-06,2.77879E-06,2.76057E-06,2.54670E-06,1.16996E-06,2.27458E-06,1.70590E-06,1.77754E-06,9.29654E-07,1.47258E-06,9.68133E-07,8.04345E-07,4.70720E-07,6.41956E-07
399 nm,4.15580E-06,4.01048E-06,3.66281E-06,3.94366E-06,4.12306E-06,2.73397E-06,3.75023E-06,2.60332E-06,2.69249E-06,1.53605E-06,2.90414E-06,1.96276E-06,1.86114E-06,1.77030E-06,1.53374E-06,1.19976E-06,1.11988E-06,1.03987E-06,8.46682E-07,5.49394E-07,3.25220E-07
400 nm,5.23385E-06,3.62451E-06,3.50574E-06,3.61237E-06,3.51322E-06,3.52352E-06,2.63477E-06,3.67430E-06,1.40254E-06,1.91104E-06,1.35853E-06,2.32855E-06,2.19108E-06,2.47765E-06,1.62948E-06,1.68120E-06,6.51526E-07,1.27630E-06,1.20557E-06,5.80805E-07,4.87587E-07
401 nm,5.15696E-06,4.32260E-06,4.26214E-06,4.14996E-06,4.29916E-06,3.78394E-06,2.29751E-06,3.38299E-06,3.26858E-06,3.20139E-06,2.47569E-06,1.88084E-06,1.60996E-06,2.40976E-06,1.67449E-06,1.40841E-06,1.68776E-06,1.23484E-06,1.11546E-06,9.45379E-07,7.36046E-07
