,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Name,green_100,green_90,green_80,green_70,green_60,green_50,green_40,green_30,green_20,green_10,green_0,uv_100,uv_90,uv_80,uv_70,uv_60,UV_50,uv_40,uv_30,uv_20,uv_10,uv_0
Date,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015
Time,08:54am,08:54am,08:55am,08:57am,08:58am,08:59am,09:00am,09:01am,09:02am,09:04am,09:06am,09:08am,09:09am,09:09am,09:10am,09:11am,09:13am,09:14am,09:15am,09:17am,09:19am,09:20am
T_int [ms],4564,7968,8263,9653,10937,12166,14348,17708,21220,24683,28764,10105,11535,12819,14198,16307,19902,24007,26646,28978,29131,31228
,,,,,,,,,,,,,,,,,,,,,,
Lv [cd/sqm],1.590E+00,1.444E+00,1.296E+00,1.134E+00,9.871E-01,8.361E-01,6.864E-01,5.327E-01,3.841E-01,2.298E-01,8.107E-02,6.604E-02,6.610E-02,6.737E-02,6.590E-02,6.499E-02,6.533E-02,6.484E-02,6.574E-02,6.497E-02,6.496E-02,6.449E-02
Le [W/(sr*sqm)] (380-780nm),4.928E-03,4.462E-03,4.000E-03,3.510E-03,3.048E-03,2.581E-03,2.116E-03,1.639E-03,1.175E-03,6.952E-04,2.388E-04,3.066E-04,2.924E-04,2.818E-04,2.694E-04,2.562E-04,2.470E-04,2.303E-04,2.217E-04,2.071E-04,1.972E-04,1.858E-04
CCT [K],6412,6362,6347,6327,6269,6214,6152,6004,5777,5334,3690,3465,3385,3506,3420,3430,3486,3440,3415,3378,3367,3443
DWl [nm],489.8,490.5,490.6,490.6,491.1,491.7,492.5,494.8,504.4,563.3,579.3,580.2,580.0,578.9,580.1,579.0,579.5,579.6,579.6,579.3,579.7,579.4
PE [%],6.7,6.3,6.2,6.1,5.7,5.3,4.9,3.8,2.1,5.5,36.0,41.8,45.8,44.7,44.0,47.7,43.2,44.9,46.0,49.1,47.9,45.4
,,,,,,,,,,,,,,,,,,,,,,
Chrom. Coord.,,,,,,,,,,,,,,,,,,,,,,
x,0.3141,0.3149,0.3152,0.3156,0.3166,0.3176,0.3188,0.3217,0.3264,0.3368,0.3961,0.4087,0.4153,0.4101,0.4123,0.4157,0.4093,0.4125,0.4145,0.4189,0.4181,0.4129
y,0.3305,0.3315,0.3318,0.3318,0.3325,0.3334,0.3342,0.3362,0.3398,0.3481,0.3901,0.3970,0.4035,0.4052,0.4005,0.4097,0.4011,0.4035,0.4051,0.4110,0.4079,0.4047
u',0.1982,0.1984,0.1985,0.1988,0.1993,0.1996,0.2001,0.2014,0.2033,0.2072,0.2300,0.2353,0.2369,0.2329,0.2362,0.2347,0.2341,0.2352,0.2358,0.2362,0.2369,0.2349
v',0.4693,0.4700,0.4702,0.4702,0.4707,0.4714,0.4720,0.4734,0.4760,0.4817,0.5096,0.5143,0.5179,0.5179,0.5163,0.5204,0.5161,0.5175,0.5185,0.5214,0.5201,0.5181
,,,,,,,,,,,,,,,,,,,,,,
CIE 13.3-1995 CRI,,,,,,,,,,,,,,,,,,,,,,
Ref. Illum.,Daylight 5000-7000K,Daylight 5000-7000K,Daylight 5000-7000K,Daylight 5000-7000K,Daylight 5000-7000K,Daylight 5000-7000K,Daylight 5000-7000K,Daylight 5000-7000K,Daylight 5000-7000K,Daylight 5000-7000K,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator
CCT [K],6412,6362,6347,6327,6269,6214,6152,6004,5777,5334,3690,3465,3385,3506,3420,3430,3486,3440,3415,3378,3367,3443
R1,70.4,70.5,70.3,71.1,70.8,71.5,72.6,73.8,74.4,77.9,92.7,98.0,95.7,96.1,95.6,98.4,99.1,97.2,98.5,96.9,96.5,97.1
R2,73.7,73.8,73.7,74.0,74.0,74.5,75.0,75.6,76.1,79.2,89.2,94.8,93.1,92.1,94.1,93.8,93.1,93.4,92.8,92.2,93.5,94.3
R3,74.2,73.8,74.0,73.6,73.8,73.9,73.2,72.6,71.7,71.4,55.8,57.8,58.6,54.1,59.3,50.2,53.5,55.0,50.9,51.1,55.3,57.3
R4,73.2,73.3,73.2,73.6,73.6,73.9,74.6,75.0,75.5,77.5,86.7,90.2,87.4,89.6,87.5,90.1,89.0,89.0,89.1,89.5,88.9,89.3
R5,71.6,71.6,71.4,72.1,71.8,72.2,73.0,73.6,73.8,75.9,83.9,88.0,85.8,85.8,85.2,90.4,88.6,86.0,87.4,85.1,86.0,86.4
R6,65.4,65.1,65.2,65.4,65.3,65.9,66.3,66.7,66.6,69.4,74.7,84.2,82.3,79.5,82.5,81.5,80.8,80.3,78.8,77.2,80.2,81.1
R7,78.5,78.5,78.6,78.5,78.6,78.8,79.0,79.1,79.3,80.9,86.4,92.0,89.2,90.9,90.6,91.1,89.7,90.7,89.0,90.3,88.6,90.0
R8,60.2,60.2,60.0,60.5,60.1,60.5,61.5,62.1,62.1,63.6,71.7,73.6,69.8,75.6,71.0,78.7,76.3,72.4,73.9,72.8,68.0,70.6
R9,-32.3,-31.7,-32.7,-30.6,-31.8,-30.1,-26.5,-23.8,-23.1,-16.1,6.6,9.7,2.9,10.5,7.4,16.1,15.3,7.5,8.8,5.8,-2.4,5.7
R10,35.8,35.5,35.5,35.8,35.8,36.7,37.1,37.6,37.5,41.5,45.3,54.9,53.1,48.1,53.5,50.0,50.6,50.1,47.2,45.4,50.0,52.8
R11,72.0,71.9,71.6,72.3,72.0,72.2,72.9,73.2,73.0,73.5,74.7,77.0,75.4,75.2,71.1,82.3,79.3,73.8,77.5,73.7,74.3,73.9
R12,43.6,43.3,43.4,43.8,43.4,44.2,44.7,45.1,44.3,47.3,47.3,58.1,55.1,51.5,56.6,51.8,52.2,50.8,49.1,44.5,52.2,54.8
R13,70.0,70.2,69.9,70.6,70.5,71.2,72.2,73.2,73.9,77.9,94.5,96.8,97.2,97.1,97.4,95.8,97.3,97.3,97.5,97.6,98.2,97.3
R14,85.3,85.0,85.1,84.8,84.9,84.9,84.4,83.9,83.2,82.6,70.6,71.1,71.9,69.1,72.1,66.4,68.5,69.5,66.8,67.0,69.4,70.9
R15,63.8,64.2,63.8,64.9,64.6,65.2,66.7,68.1,69.2,73.4,90.4,93.9,91.3,93.0,92.9,95.1,94.9,94.3,93.9,93.8,92.3,94.0
Ra,70.90,70.86,70.79,71.11,71.00,71.41,71.91,72.32,72.45,74.48,80.15,84.81,82.75,82.95,83.22,84.28,83.77,83.01,82.54,81.89,82.12,83.27
DC,5.8E-04,2.7E-04,4.8E-04,3.2E-04,2.7E-04,2.7E-04,6.6E-04,1.3E-03,1.9E-03,1.7E-03,3.8E-03,2.1E-03,5.9E-04,5.8E-03,2.9E-03,5.4E-03,2.1E-03,3.5E-03,3.2E-03,4.9E-03,1.4E-03,2.6E-03
,,,,,,,,,,,,,,,,,,,,,,
PAR,,,,,,,,,,,,,,,,,,,,,,
Begin [nm],400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
End [nm],700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Ephot [umol/s sqm],0.0216,0.0196,0.0176,0.0154,0.0134,0.0113,0.0093,0.0072,0.0052,0.0031,0.0010,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
,,,,,,,,,,,,,,,,,,,,,,
Circadian,,,,,,,,,,,,,,,,,,,,,,
Lec [W/sr*sqm],0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
acv,0.778,0.772,0.768,0.773,0.763,0.762,0.757,0.744,0.718,0.676,0.451,0.427,0.422,0.388,0.450,0.382,0.446,0.412,0.386,0.367,0.406,0.432
CCT [K],6412,6362,6347,6327,6269,6214,6152,6004,5777,5334,3690,3465,3385,3506,3420,3430,3486,3440,3415,3378,3367,3443
,,,,,,,,,,,,,,,,,,,,,,
LED Values,,,,,,,,,,,,,,,,,,,,,,
Peak WL [nm],447.0,445.0,445.0,445.0,444.0,445.0,446.0,444.0,445.0,544.0,611.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,371.0,611.0
Peak FWHM [nm],23.1,22.7,23.0,22.6,23.0,23.2,22.8,23.1,23.2,12.8,6.1,11.4,11.3,11.5,11.3,11.5,11.4,11.4,11.2,11.4,11.4,6.1
Centroid WL [nm],535.3,536.0,535.5,535.8,535.9,535.5,537.0,538.2,539.1,542.5,555.9,372.1,372.4,372.0,371.8,371.8,372.0,372.5,371.9,373.0,371.1,557.0
,,,,,,,,,,,,,,,,,,,,,,
RGB Values,,,,,,,,,,,,,,,,,,,,,,
RGB Space,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual
R,1.3,1.2,1.1,1.0,0.9,0.7,0.6,0.5,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G,1.6,1.5,1.3,1.2,1.0,0.9,0.7,0.5,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
