,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:31am,11:32am,11:32am,11:32am,11:32am,11:33am,11:33am,11:33am,11:33am,11:33am
T_int [ms],6817,3891,2676,2116,1689,1481,1280,1000,1000,920
,,,,,,,,,,
Lv [cd/sqm],7.587E-01,1.438E+00,2.155E+00,2.795E+00,3.480E+00,4.053E+00,4.691E+00,5.388E+00,6.069E+00,6.769E+00
Le [W/(sr*sqm)] (380-780nm),1.695E-03,3.193E-03,4.755E-03,6.167E-03,7.684E-03,8.909E-03,1.033E-02,1.183E-02,1.334E-02,1.488E-02
CCT [K],0,0,0,0,0,0,0,0,0,0
DWl [nm],521.8,521.9,522.2,522.2,522.2,522.4,522.3,522.4,522.4,522.4
PE [%],73.6,74.2,75.3,75.2,75.3,75.6,75.5,75.9,75.8,75.7
,,,,,,,,,,
Chrom. Coord.,,,,,,,,,,
x,0.1532,0.1523,0.1510,0.1514,0.1512,0.1518,0.1511,0.1513,0.1516,0.1512
y,0.7012,0.7043,0.7097,0.7089,0.7097,0.7108,0.7105,0.7122,0.7116,0.7115
u',0.0552,0.0547,0.0539,0.0540,0.0539,0.0541,0.0539,0.0538,0.0540,0.0538
v',0.5681,0.5687,0.5696,0.5695,0.5696,0.5699,0.5697,0.5701,0.5700,0.5699
,,,,,,,,,,
CIE 13.3-1995 CRI,,,,,,,,,,
Ref. Illum.,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!
CCT [K],0,0,0,0,0,0,0,0,0,0
R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
