,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100,green_0
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:36am,11:36am,11:36am,11:36am,11:37am,11:37am,11:37am,11:37am,11:37am,11:37am,11:40am
T_int [ms],6762,3906,2672,2064,1697,1483,1281,1000,1000,929,312
,,,,,,,,,,,
Lv [cd/sqm],7.592E-01,1.437E+00,2.157E+00,2.791E+00,3.487E+00,4.046E+00,4.675E+00,5.380E+00,6.058E+00,6.765E+00,5.765E-02
Le [W/(sr*sqm)] (380-780nm),1.700E-03,3.193E-03,4.766E-03,6.161E-03,7.705E-03,8.900E-03,1.030E-02,1.183E-02,1.332E-02,1.485E-02,6.147E-04
CCT [K],0,0,0,0,0,0,0,0,0,0,0
DWl [nm],521.5,521.7,522.3,522.2,522.3,522.4,522.3,522.3,522.4,522.5,499.8
PE [%],73.0,74.0,75.2,75.5,75.3,75.7,75.6,75.7,75.8,76.0,18.3
,,,,,,,,,,,
Chrom. Coord.,,,,,,,,,,,
x,0.1529,0.1518,0.1518,0.1506,0.1518,0.1514,0.1512,0.1510,0.1514,0.1517,0.2739
y,0.6984,0.7034,0.7092,0.7108,0.7096,0.7113,0.7110,0.7116,0.7118,0.7124,0.3700
u',0.0552,0.0545,0.0542,0.0537,0.0542,0.0539,0.0539,0.0538,0.0539,0.0540,0.1590
v',0.5675,0.5684,0.5695,0.5697,0.5696,0.5699,0.5698,0.5699,0.5700,0.5702,0.4831
,,,,,,,,,,,
CIE 13.3-1995 CRI,,,,,,,,,,,
Ref. Illum.,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!
CCT [K],0,0,0,0,0,0,0,0,0,0,0
R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ra,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DC,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00
,,,,,,,,,,,
PAR,,,,,,,,,,,
Begin [nm],400,400,400,400,400,400,400,400,400,400,400
End [nm],700,700,700,700,700,700,700,700,700,700,700
Ephot [umol/s sqm],0.0073,0.0138,0.0206,0.0267,0.0333,0.0385,0.0446,0.0513,0.0577,0.0644,0.0009
,,,,,,,,,,,
Circadian,,,,,,,,,,,
Lec [W/sr*sqm],0.001,0.001,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.006,0.000
acv,0.585,0.577,0.569,0.577,0.570,0.570,0.567,0.568,0.569,0.566,0.914
CCT [K],0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
LED Values,,,,,,,,,,,
Peak WL [nm],517.0,519.0,518.0,519.0,519.0,518.0,517.0,517.0,517.0,518.0,845.0
Peak FWHM [nm],33.7,33.4,33.9,33.6,33.7,34.0,33.7,33.7,33.7,33.9,25.8
Centroid WL [nm],521.5,521.6,521.7,521.8,521.8,521.9,521.8,521.8,521.9,522.0,838.3
,,,,,,,,,,,
RGB Values,,,,,,,,,,,
RGB Space,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual
R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.0,1.9,2.9,3.7,4.6,5.4,6.2,7.2,8.1,9.0,0.1
B,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.0,1.1,1.2,0.1
,,,,,,,,,,,
,,,,,,,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
380 nm,5.52193E-07,7.01520E-07,5.83696E-08,1.52287E-07,2.84042E-07,2.20607E-06,3.66074E-06,1.52626E-06,1.02411E-06,8.02667E-07,4.37530E-06
381 nm,4.36492E-07,8.86308E-07,1.75617E-07,1.31149E-06,2.53020E-06,3.16420E-06,1.81420E-07,2.63594E-06,1.43626E-06,2.60186E-07,0.00000E+00
382 nm,0.00000E+00,0.00000E+00,1.25727E-06,2.30408E-06,1.12894E-06,2.51622E-06,7.02038E-08,1.89135E-06,2.53689E-06,2.30205E-06,7.64653E-07
383 nm,5.17574E-07,6.54588E-07,1.78594E-06,1.46321E-06,4.47196E-06,1.41532E-06,1.44016E-06,2.68360E-06,2.91449E-06,2.51642E-06,1.37915E-06
384 nm,6.42572E-07,3.34529E-07,1.22028E-06,1.45839E-06,1.17885E-06,1.75746E-06,2.06951E-06,3.19932E-06,2.20414E-06,3.29372E-06,2.15270E-07
385 nm,2.22497E-07,1.33710E-06,9.15356E-07,2.51235E-06,3.72104E-06,2.96327E-06,1.10860E-06,4.39961E-06,3.57965E-06,1.71997E-06,1.02353E-07
386 nm,6.03581E-07,4.76550E-07,2.98330E-06,2.38869E-06,3.20775E-06,4.23769E-06,4.65030E-06,5.90029E-06,4.11616E-06,6.84231E-06,2.44383E-06
387 nm,6.83164E-07,9.00538E-07,2.04810E-06,2.28497E-06,3.79763E-06,2.37033E-06,2.33169E-06,5.37849E-06,5.43115E-06,4.49376E-06,6.18211E-07
388 nm,2.86058E-07,1.48795E-06,1.10453E-06,1.93729E-06,3.63541E-06,3.92072E-06,4.46654E-06,3.36396E-06,4.56347E-06,6.15770E-06,1.05807E-06
389 nm,9.46482E-07,1.30839E-06,1.38842E-06,2.75348E-06,1.51429E-06,3.83128E-06,1.35672E-06,3.88042E-06,4.71316E-06,6.61707E-06,0.00000E+00
390 nm,4.95455E-07,1.02103E-06,2.41344E-06,1.80478E-06,2.81468E-06,4.26206E-06,4.96211E-06,3.32678E-06,4.81435E-06,4.10236E-06,0.00000E+00
391 nm,9.13271E-08,3.71934E-07,1.33946E-07,2.62974E-06,2.05484E-06,2.99225E-06,3.26453E-06,3.66407E-06,2.40307E-06,2.28533E-06,1.25860E-06
392 nm,9.32913E-07,1.61724E-06,2.28378E-06,2.04764E-06,7.72363E-07,2.35954E-06,2.76687E-06,2.33323E-06,2.84580E-06,2.93394E-06,6.14744E-07
393 nm,7.01788E-07,7.28544E-07,6.01866E-07,2.23281E-06,1.55132E-06,1.63892E-06,2.37530E-06,2.90349E-06,2.44925E-06,1.02819E-06,0.00000E+00
394 nm,1.05303E-07,1.67948E-07,3.31377E-07,9.73066E-07,3.02234E-06,1.16222E-06,1.34231E-06,2.64956E-06,1.40324E-06,2.79419E-06,1.72188E-06
