,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name,uv_0,uv_10,uv_20,uv_30,uv_40,uv_50,uv_60,uv_70,uv_80,uv_90,uv_100
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:43am,11:43am,11:43am,11:43am,11:44am,11:44am,11:44am,11:44am,11:44am,11:44am,11:45am
T_int [ms],1570,1550,1573,1000,904,727,637,543,472,430,395
,,,,,,,,,,,
Lv [cd/sqm],1.811E-02,2.379E-02,2.931E-02,3.183E-02,3.716E-02,3.938E-02,4.728E-02,6.144E-02,6.224E-02,6.359E-02,6.893E-02
Le [W/(sr*sqm)] (380-780nm),7.202E-04,3.479E-03,6.099E-03,8.846E-03,1.140E-02,1.402E-02,1.669E-02,1.930E-02,2.203E-02,2.467E-02,2.741E-02
CCT [K],0,0,0,0,0,0,0,0,0,0,0
DWl [nm],454.7,453.5,456.4,449.4,453.3,450.1,450.8,452.5,452.5,449.8,452.8
PE [%],33.6,61.8,70.0,77.1,79.7,81.1,82.4,79.7,81.9,83.9,84.2
,,,,,,,,,,,
Chrom. Coord.,,,,,,,,,,,
x,0.2723,0.2217,0.2044,0.1975,0.1897,0.1900,0.1870,0.1903,0.1864,0.1853,0.1820
y,0.2290,0.1403,0.1173,0.0894,0.0844,0.0775,0.0739,0.0835,0.0767,0.0684,0.0698
u',0.2093,0.2091,0.2045,0.2148,0.2088,0.2141,0.2130,0.2101,0.2102,0.2148,0.2096
v',0.3961,0.2978,0.2639,0.2188,0.2091,0.1964,0.1893,0.2076,0.1945,0.1783,0.1808
,,,,,,,,,,,
CIE 13.3-1995 CRI,,,,,,,,,,,
Ref. Illum.,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!
CCT [K],0,0,0,0,0,0,0,0,0,0,0
R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ra,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DC,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00,0.0E+00
,,,,,,,,,,,
PAR,,,,,,,,,,,
Begin [nm],400,400,400,400,400,400,400,400,400,400,400
End [nm],700,700,700,700,700,700,700,700,700,700,700
Ephot [umol/s sqm],0.0005,0.0015,0.0025,0.0036,0.0046,0.0056,0.0067,0.0078,0.0089,0.0100,0.0110
,,,,,,,,,,,
Circadian,,,,,,,,,,,
Lec [W/sr*sqm],0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001
acv,1.618,3.654,4.610,6.128,6.525,7.132,7.897,6.876,7.520,8.387,8.418
CCT [K],0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
LED Values,,,,,,,,,,,
Peak WL [nm],845.0,845.0,845.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0
Peak FWHM [nm],23.6,23.6,23.5,13.0,12.9,12.8,12.8,12.9,13.0,13.0,13.0
Centroid WL [nm],837.7,837.7,837.6,389.6,389.3,389.3,389.4,389.5,389.5,389.6,389.5
,,,,,,,,,,,
RGB Values,,,,,,,,,,,
RGB Space,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual
R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
B,0.0,0.1,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7
,,,,,,,,,,,
,,,,,,,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
380 nm,2.90267E-05,9.02446E-05,1.53221E-04,2.20249E-04,2.82389E-04,3.45570E-04,4.00994E-04,4.67052E-04,5.31113E-04,5.98908E-04,6.55162E-04
381 nm,3.17863E-05,1.11715E-04,1.93277E-04,2.76258E-04,3.50247E-04,4.24210E-04,5.12256E-04,5.89279E-04,6.65988E-04,7.40748E-04,8.25147E-04
382 nm,3.57499E-05,1.34142E-04,2.29864E-04,3.33472E-04,4.25657E-04,5.18553E-04,6.08425E-04,6.92588E-04,8.07120E-04,8.99685E-04,1.00198E-03
383 nm,3.65276E-05,1.56012E-04,2.71280E-04,3.96967E-04,5.03344E-04,6.15751E-04,7.31600E-04,8.30448E-04,9.58472E-04,1.07395E-03,1.18631E-03
384 nm,4.09467E-05,1.86453E-04,3.19429E-04,4.63519E-04,5.96093E-04,7.27196E-04,8.68987E-04,1.00204E-03,1.14657E-03,1.26057E-03,1.41170E-03
385 nm,4.68765E-05,2.06061E-04,3.59626E-04,5.23062E-04,6.70649E-04,8.22675E-04,9.67772E-04,1.11795E-03,1.28504E-03,1.43673E-03,1.57690E-03
386 nm,4.75327E-05,2.24651E-04,3.89546E-04,5.70230E-04,7.30228E-04,9.01963E-04,1.06887E-03,1.23673E-03,1.40861E-03,1.58620E-03,1.75795E-03
387 nm,4.48619E-05,2.35660E-04,4.20583E-04,6.08252E-04,7.83014E-04,9.61930E-04,1.13995E-03,1.31512E-03,1.50295E-03,1.68805E-03,1.86946E-03
388 nm,4.22524E-05,2.37143E-04,4.20305E-04,6.09425E-04,7.85842E-04,9.73043E-04,1.16163E-03,1.33689E-03,1.51418E-03,1.70293E-03,1.89269E-03
389 nm,3.96500E-05,2.28935E-04,4.04511E-04,5.83824E-04,7.61758E-04,9.42562E-04,1.11840E-03,1.30771E-03,1.48227E-03,1.66244E-03,1.84352E-03
390 nm,3.34286E-05,2.06399E-04,3.73158E-04,5.41923E-04,7.02192E-04,8.68037E-04,1.03373E-03,1.19262E-03,1.36668E-03,1.53389E-03,1.70834E-03
391 nm,2.82400E-05,1.84677E-04,3.31346E-04,4.90491E-04,6.35146E-04,7.90906E-04,9.29332E-04,1.09168E-03,1.23869E-03,1.37749E-03,1.55610E-03
392 nm,2.21367E-05,1.60842E-04,2.92377E-04,4.25399E-04,5.52667E-04,6.86987E-04,8.19286E-04,9.44501E-04,1.09015E-03,1.21920E-03,1.35666E-03
393 nm,1.81044E-05,1.39286E-04,2.53662E-04,3.73309E-04,4.84718E-04,6.03295E-04,7.18275E-04,8.35952E-04,9.55477E-04,1.06873E-03,1.18748E-03
394 nm,1.57162E-05,1.18559E-04,2.19874E-04,3.22305E-04,4.22455E-04,5.19626E-04,6.23898E-04,7.26802E-04,8.22485E-04,9.29964E-04,1.02844E-03
395 nm,1.08790E-05,1.02732E-04,1.89340E-04,2.84784E-04,3.64371E-04,4.53164E-04,5.43357E-04,6.33738E-04,7.18550E-04,8.11910E-04,9.03558E-04
396 nm,9.93194E-06,9.12835E-05,1.65765E-04,2.46707E-04,3.27488E-04,3.96678E-04,4.78588E-04,5.50014E-04,6.37066E-04,7.17177E-04,7.93225E-04
397 nm,7.97421E-06,8.02785E-05,1.50494E-04,2.19248E-04,2.85399E-04,3.58612E-04,4.23490E-04,4.97003E-04,5.65631E-04,6.31396E-04,7.10198E-04
398 nm,5.88566E-06,7.14305E-05,1.33669E-04,1.95217E-04,2.51663E-04,3.16185E-04,3.79161E-04,4.41534E-04,5.03733E-04,5.63971E-04,6.39574E-04
399 nm,5.20488E-06,6.36582E-05,1.15675E-04,1.72342E-04,2.25182E-04,2.80871E-04,3.36768E-04,3.93010E-04,4.45477E-04,5.02375E-04,5.65994E-04
400 nm,5.57052E-06,5.52212E-05,1.03703E-04,1.49728E-04,1.99643E-04,2.45177E-04,2.94586E-04,3.39647E-04,3.88737E-04,4.40240E-04,4.90486E-04
401 nm,2.42442E-06,4.39390E-05,8.48295E-05,1.27061E-04,1.68804E-04,2.08345E-04,2.48891E-04,2.89663E-04,3.33228E-04,3.69680E-04,4.16187E-04
402 nm,4.79172E-06,3.93173E-05,7.47023E-05,1.06660E-04,1.44401E-04,1.77273E-04,2.12898E-04,2.47247E-04,2.81231E-04,3.16799E-04,3.53065E-04
403 nm,8.64759E-07,3.34286E-05,5.90918E-05,8.89005E-05,1.19091E-04,1.46537E-04,1.77090E-04,2.04622E-04,2.33025E-04,2.59789E-04,2.91389E-04
