,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight,RB_staticGird_StructuredLight,RG_staticGird_StructuredLight,B_staticGird_StructuredLight_100,G_staticGird_StructuredLight_100,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror
Date,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014
Time,15:18pm,15:12pm,15:16pm,15:18pm,15:12pm,15:16pm,15:18pm,14:47pm,14:53pm,14:59pm,15:08pm,15:11pm,15:12pm,15:16pm,15:18pm
T_int [ms],6913,6515,24,6913,6515,24,6913,10293,16749,11365,8916,6340,6515,24,6913
,,,,,,,,,,,,,,,
Lv [cd/sqm],1.743E+00,1.676E+00,2.546E+02,1.743E+00,1.676E+00,2.546E+02,1.743E+00,1.028E+00,8.801E-02,8.504E-01,7.612E-03,1.693E+00,1.676E+00,2.546E+02,1.743E+00
Le [W/(sr*sqm)] (380-780nm),5.631E-03,5.522E-03,9.828E-01,5.631E-03,5.522E-03,9.828E-01,5.631E-03,3.291E-03,3.315E-04,2.687E-03,1.960E-04,5.419E-03,5.522E-03,9.828E-01,5.631E-03
CCT [K],6726,7316,9704,6726,7316,9704,6726,6841,3845,7049,0,7293,7316,9704,6726
DWl [nm],486.1,483.8,470.9,486.1,483.8,470.9,486.1,486.6,581.5,485.0,465.3,483.9,483.8,470.9,486.1
PE [%],8.8,12.2,20.9,8.8,12.2,20.9,8.8,9.5,26.9,10.7,44.5,12.1,12.2,20.9,8.8
,,,,,,,,,,,,,,,
Chrom. Coord.,,,,,,,,,,,,,,,
x,0.3095,0.3017,0.2891,0.3095,0.3017,0.2891,0.3095,0.3075,0.3841,0.3049,0.2451,0.3020,0.3017,0.2891,0.3095
y,0.3232,0.3150,0.2765,0.3232,0.3150,0.2765,0.3232,0.3234,0.3720,0.3191,0.2033,0.3153,0.3150,0.2765,0.3232
u',0.1978,0.1954,0.2014,0.1978,0.1954,0.2014,0.1978,0.1963,0.2295,0.1961,0.1981,0.1955,0.1954,0.2014,0.1978
v',0.4647,0.4590,0.4335,0.4647,0.4590,0.4335,0.4647,0.4645,0.5000,0.4618,0.3696,0.4592,0.4590,0.4335,0.4647
,,,,,,,,,,,,,,,
CIE 13.3-1995 CRI,,,,,,,,,,,,,,,
Ref. Illum.,Daylight 5000-7000K,Daylight >7000K,Daylight >7000K,Daylight 5000-7000K,Daylight >7000K,Daylight >7000K,Daylight 5000-7000K,Daylight 5000-7000K,Planckian radiator,Daylight >7000K,CRI not calculated!,Daylight >7000K,Daylight >7000K,Daylight >7000K,Daylight 5000-7000K
CCT [K],6726,7316,9704,6726,7316,9704,6726,6841,3845,7049,0,7293,7316,9704,6726
R1,72.1,70.2,82.4,72.1,70.2,82.4,72.1,69.5,99.4,70.5,0.0,70.4,70.2,82.4,72.1
R2,74.9,72.8,75.3,74.9,72.8,75.3,74.9,73.5,95.6,73.6,0.0,73.0,72.8,75.3,74.9
R3,75.5,73.1,65.3,75.5,73.1,65.3,75.5,75.2,56.8,74.1,0.0,73.1,73.1,65.3,75.5
R4,74.9,73.2,80.2,74.9,73.2,80.2,74.9,72.8,90.3,73.6,0.0,73.3,73.2,80.2,74.9
R5,73.6,72.1,82.9,73.6,72.1,82.9,73.6,71.3,89.9,72.1,0.0,72.2,72.1,82.9,73.6
R6,67.1,64.8,66.6,67.1,64.8,66.6,67.1,65.3,83.7,65.1,0.0,64.7,64.8,66.6,67.1
R7,79.7,78.4,77.8,79.7,78.4,77.8,79.7,78.8,91.0,78.9,0.0,78.3,78.4,77.8,79.7
R8,63.3,62.3,76.1,63.3,62.3,76.1,63.3,60.1,77.4,61.9,0.0,62.0,62.3,76.1,63.3
R9,-22.4,-29.5,19.2,-22.4,-29.5,19.2,-22.4,-34.6,20.7,-29.4,0.0,-30.0,-29.5,19.2,-22.4
R10,39.1,34.1,37.1,39.1,34.1,37.1,39.1,36.1,55.6,35.7,0.0,34.3,34.1,37.1,39.1
R11,74.2,72.6,85.2,74.2,72.6,85.2,74.2,71.7,75.9,72.5,0.0,72.7,72.6,85.2,74.2
R12,46.0,43.7,49.7,46.0,43.7,49.7,46.0,42.4,61.4,42.4,0.0,43.8,43.7,49.7,46.0
R13,71.6,69.5,78.0,71.6,69.5,78.0,71.6,69.3,96.0,70.0,0.0,69.7,69.5,78.0,71.6
R14,86.1,84.7,79.9,86.1,84.7,79.9,86.1,86.1,70.4,85.3,0.0,84.7,84.7,79.9,86.1
R15,66.4,64.4,81.1,66.4,64.4,81.1,66.4,63.1,96.3,64.8,0.0,64.6,64.4,81.1,66.4
Ra,72.64,70.85,75.83,72.64,70.85,75.83,72.64,70.81,85.52,71.21,0.00,70.87,70.85,75.83,72.64
DC,1.4E-03,1.1E-03,1.5E-02,1.4E-03,1.1E-03,1.5E-02,1.4E-03,5.0E-04,2.8E-03,1.2E-03,0.0E+00,1.4E-03,1.1E-03,1.5E-02,1.4E-03
,,,,,,,,,,,,,,,
PAR,,,,,,,,,,,,,,,
Begin [nm],400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
End [nm],700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Ephot [umol/s sqm],0.0242,0.0234,3.9403,0.0242,0.0234,3.9403,0.0242,0.0141,0.0012,0.0118,0.0002,0.0236,0.0234,3.9403,0.0242
,,,,,,,,,,,,,,,
Circadian,,,,,,,,,,,,,,,
Lec [W/sr*sqm],0.002,0.002,0.396,0.002,0.002,0.396,0.002,0.001,0.000,0.001,0.000,0.002,0.002,0.396,0.002
acv,0.819,0.865,1.061,0.819,0.865,1.061,0.819,0.821,0.538,0.841,1.769,0.863,0.865,1.061,0.819
CCT [K],6726,7316,9704,6726,7316,9704,6726,6841,3845,7049,0,7293,7316,9704,6726
,,,,,,,,,,,,,,,
LED Values,,,,,,,,,,,,,,,
Peak WL [nm],372.0,371.0,371.0,372.0,371.0,371.0,372.0,369.0,369.0,447.0,371.0,445.0,371.0,371.0,372.0
Peak FWHM [nm],11.6,11.2,11.6,11.6,11.2,11.6,11.6,11.0,11.1,21.2,11.4,23.1,11.2,11.6,11.6
Centroid WL [nm],510.2,497.1,465.0,510.2,497.1,465.0,510.2,498.0,379.4,532.4,372.9,530.2,497.1,465.0,510.2
,,,,,,,,,,,,,,,
RGB Values,,,,,,,,,,,,,,,
RGB Space,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual,manual
R,1.5,1.3,213.6,1.5,1.3,213.6,1.5,0.8,0.1,0.7,0.0,1.4,1.3,213.6,1.5
G,1.8,1.7,261.5,1.8,1.7,261.5,1.8,1.1,0.1,0.9,0.0,1.8,1.7,261.5,1.8
B,2.0,2.0,401.3,2.0,2.0,401.3,2.0,1.2,0.1,1.0,0.0,2.1,2.0,401.3,2.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
