Name,dark,BG_100,BG_90,BG_80,BG_70,BG_60,BG_50,BG_40,BG_30,BG_10,BG_20,BG_0
Date,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14,12/15/14
Time,14:44pm,14:46pm,14:48pm,14:49pm,14:50pm,14:51pm,14:52pm,14:56pm,14:57pm,14:59pm,15:05pm,15:07pm
T_int [ms],32887,4142,4600,5127,5633,6499,7416,8556,10888,19300,14013,26425
,,,,,,,,,,,,
Lv [cd/sqm],5.31E-02,2.49E+00,2.23E+00,2.00E+00,1.77E+00,1.55E+00,1.32E+00,1.09E+00,8.64E-01,4.06E-01,6.32E-01,1.75E-01
Le [W/(sr*sqm)] (380-780nm),1.28E-04,8.42E-03,7.53E-03,6.75E-03,5.97E-03,5.20E-03,4.43E-03,3.65E-03,2.90E-03,1.34E-03,2.11E-03,5.56E-04
CCT [K],3299,8025,8004,7972,7924,7869,7802,7716,7596,6988,7329,5702
DWl [nm],577.9,480.8,480.9,481,480.9,481,481.1,481.1,481.2,481.6,481.1,488.3
PE [%],61.2,15.5,15.4,15.3,15.1,14.9,14.6,14.2,13.7,10.6,12.4,1.8
,,,,,,,,,,,,
Chrom. Coord.,,,,,,,,,,,,
x,0.4346,0.2952,0.2954,0.2956,0.2962,0.2967,0.2974,0.2983,0.2995,0.3069,0.3027,0.3283
y,0.4355,0.3036,0.3039,0.3044,0.3046,0.3052,0.3059,0.3066,0.3079,0.3141,0.31,0.332
u',0.2363,0.1951,0.1951,0.1951,0.1954,0.1955,0.1958,0.1962,0.1966,0.1994,0.198,0.2075
v',0.5328,0.4515,0.4517,0.4519,0.4521,0.4526,0.4531,0.4537,0.4546,0.4593,0.4563,0.4723
,,,,,,,,,,,,
CIE 13.3-1995 CRI,,,,,,,,,,,,
Ref. Illum.,Planckian radiator,Daylight >7000K,Daylight >7000K,Daylight >7000K,Daylight >7000K,Daylight >7000K,Daylight >7000K,Daylight >7000K,Daylight >7000K,Daylight 5000-7000K,Daylight >7000K,Daylight 5000-7000K
CCT [K],3299,8025,8004,7972,7924,7869,7802,7716,7596,6988,7329,5702
R1,92.8,73.9,74,74.5,74.4,74.3,74.2,75.4,75.1,78.7,77.1,86.6
R2,88.6,73.7,73.8,74,74.1,74,74.1,74.8,74.7,77,75.8,82.7
R3,44.9,70.4,70.3,70.3,70.5,70.3,70.3,70.5,70.2,68.8,69.5,65.4
R4,86.5,75.4,75.5,75.8,75.7,75.6,75.5,76.3,76,78.2,77.1,81.6
R5,79.6,75.3,75.2,75.7,75.6,75.4,75.2,76.1,75.8,78.1,77,82.7
R6,70.1,65.7,65.7,66,66.1,65.9,65.9,66.7,66.4,67.9,67.2,72
R7,87.9,78.3,78.4,78.5,78.6,78.4,78.5,79,78.8,79.7,79.2,81.8
R8,64.8,66.2,66.2,66.6,66.4,66.1,65.9,66.9,66.5,69.2,67.9,73.5
R9,-17,-18.1,-18.1,-16.2,-16.9,-17.8,-18.3,-14.9,-15.7,-4.8,-9.9,12.7
R10,33.9,34.6,34.6,35.2,35.3,34.9,35,36.3,35.9,38.5,37.3,44.7
R11,66.9,76.2,76,76.5,76.3,76,75.6,76.6,76.1,77.6,76.9,78.9
R12,30.3,45.6,45.6,46,46.1,45.8,45.7,46.6,46.3,48,47.1,52.3
R13,95.4,72.4,72.5,73,73,72.8,72.9,74,73.7,77.2,75.5,85.4
R14,63,83.1,83,83,83.1,82.9,82.9,83,82.8,81.5,82.2,78.3
R15,89.1,69.1,69.2,69.8,69.7,69.6,69.5,70.8,70.5,75.4,73.2,85.3
