,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Name,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33
Date,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015
Time,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm
T_int [ms],5060,5932,3613,7193,4712,14365,5060,5932,3613,7193,4712,14365
,,,,,,,,,,,,
Lv [cd/sqm],1.846E+00,3.263E-02,2.681E+00,1.300E+00,3.135E-02,3.138E-02,1.846E+00,3.263E-02,2.681E+00,1.300E+00,3.135E-02,3.138E-02
Le [W/(sr*sqm)] (380-780nm),6.030E-03,3.164E-04,8.788E-03,4.162E-03,3.751E-04,1.819E-04,6.030E-03,3.164E-04,8.788E-03,4.162E-03,3.751E-04,1.819E-04
CCT [K],7836,6013,7909,7422,6734,5501,7836,6013,7909,7422,6734,5501
DWl [nm],481.7,-569.2,481.6,484.1,433.2,-558.0,481.7,-569.2,481.6,484.1,433.2,-558.0
PE [%],14.7,6.7,15.0,12.7,11.6,4.9,14.7,6.7,15.0,12.7,11.6,4.9
,,,,,,,,,,,,
Chrom. Coord.,,,,,,,,,,,,
x,0.2966,0.3233,0.2959,0.3002,0.3140,0.3323,0.2966,0.3233,0.2959,0.3002,0.3140,0.3323
y,0.3068,0.3116,0.3060,0.3148,0.2954,0.3204,0.3068,0.3116,0.3060,0.3148,0.2954,0.3204
u',0.1949,0.2123,0.1947,0.1944,0.2123,0.2151,0.1949,0.2123,0.1947,0.1944,0.2123,0.2151
v',0.4535,0.4603,0.4530,0.4586,0.4493,0.4666,0.4535,0.4603,0.4530,0.4586,0.4493,0.4666
,,,,,,,,,,,,
CIE 13.3-1995 CRI,,,,,,,,,,,,
Ref. Illum.,Daylight >7000K,Daylight 5000-7000K,Daylight >7000K,Daylight >7000K,Daylight 5000-7000K,Daylight 5000-7000K,Daylight >7000K,Daylight 5000-7000K,Daylight >7000K,Daylight >7000K,Daylight 5000-7000K,Daylight 5000-7000K
CCT [K],7836,6013,7909,7422,6734,5501,7836,6013,7909,7422,6734,5501
R1,72.4,82.9,72.4,71.4,68.6,84.1,72.4,82.9,72.4,71.4,68.6,84.1
R2,73.1,87.5,73.2,74.1,79.6,89.3,73.1,87.5,73.2,74.1,79.6,89.3
R3,71.2,76.7,71.2,73.6,80.4,70.2,71.2,76.7,71.2,73.6,80.4,70.2
R4,74.5,91.1,74.7,74.3,81.0,92.3,74.5,91.1,74.7,74.3,81.0,92.3
