,,,,,,,,
,,,,,,,,
,,,,,,,,
Name,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint
Date,10/30/2014,11/03/2014,11/03/2014,11/03/2014,10/30/2014,11/03/2014,11/03/2014,11/03/2014
Time,10:58am,08:49am,08:55am,09:02am,10:58am,08:49am,08:55am,09:02am
T_int [ms],13803,5386,5965,5140,13803,5386,5965,5140
,,,,,,,,
Lv [cd/sqm],5.782E-01,1.934E+00,1.168E-02,1.948E+00,5.782E-01,1.934E+00,1.168E-02,1.948E+00
Le [W/(sr*sqm)] (380-780nm),1.902E-03,6.323E-03,2.841E-04,6.603E-03,1.902E-03,6.323E-03,2.841E-04,6.603E-03
CCT [K],7798,7903,0,7980,7798,7903,0,7980
DWl [nm],481.9,481.4,460.0,481.0,481.9,481.4,460.0,481.0
PE [%],14.5,15.0,44.9,15.3,14.5,15.0,44.9,15.3
,,,,,,,,
Chrom. Coord.,,,,,,,,
x,0.2970,0.2961,0.2483,0.2955,0.2970,0.2961,0.2483,0.2955
y,0.3074,0.3058,0.1970,0.3044,0.3074,0.3058,0.1970,0.3044
u',0.1949,0.1949,0.2040,0.1950,0.1949,0.1949,0.2040,0.1950
v',0.4539,0.4528,0.3643,0.4519,0.4539,0.4528,0.3643,0.4519
,,,,,,,,
CIE 13.3-1995 CRI,,,,,,,,
Ref. Illum.,Daylight >7000K,Daylight >7000K,CRI not calculated!,Daylight >7000K,Daylight >7000K,Daylight >7000K,CRI not calculated!,Daylight >7000K
CCT [K],7798,7903,0,7980,7798,7903,0,7980
R1,72.6,72.1,0.0,73.0,72.6,72.1,0.0,73.0
R2,72.9,72.9,0.0,73.3,72.9,72.9,0.0,73.3
R3,70.7,71.1,0.0,70.9,70.7,71.1,0.0,70.9
R4,74.7,74.4,0.0,74.9,74.7,74.4,0.0,74.9
R5,74.2,73.8,0.0,74.6,74.2,73.8,0.0,74.6
R6,64.8,64.8,0.0,65.3,64.8,64.8,0.0,65.3
R7,77.9,78.1,0.0,78.1,77.9,78.1,0.0,78.1
R8,64.5,64.5,0.0,65.6,64.5,64.5,0.0,65.6
R9,-23.6,-23.7,0.0,-19.7,-23.6,-23.7,0.0,-19.7
R10,33.4,33.5,0.0,34.2,33.4,33.5,0.0,34.2
R11,75.3,74.7,0.0,75.5,75.3,74.7,0.0,75.5
R12,43.8,44.2,0.0,45.0,43.8,44.2,0.0,45.0
R13,71.3,70.9,0.0,71.6,71.3,70.9,0.0,71.6
R14,83.4,83.6,0.0,83.5,83.4,83.6,0.0,83.5
R15,67.2,66.9,0.0,68.1,67.2,66.9,0.0,68.1
Ra,71.54,71.45,0.00,71.97,71.54,71.45,0.00,71.97
DC,3.0E-03,2.9E-03,0.0E+00,3.6E-03,3.0E-03,2.9E-03,0.0E+00,3.6E-03
,,,,,,,,
PAR,,,,,,,,
Begin [nm],400,400,400,400,400,400,400,400
End [nm],700,700,700,700,700,700,700,700
Ephot [umol/s sqm],0.0082,0.0275,0.0003,0.0278,0.0082,0.0275,0.0003,0.0278
,,,,,,,,
Circadian,,,,,,,,
Lec [W/sr*sqm],0.001,0.003,0.000,0.003,0.001,0.003,0.000,0.003
acv,0.903,0.914,2.279,0.922,0.903,0.914,2.279,0.922
CCT [K],7798,7903,0,7980,7798,7903,0,7980
,,,,,,,,
LED Values,,,,,,,,
Peak WL [nm],369.0,446.0,371.0,371.0,369.0,446.0,371.0,371.0
Peak FWHM [nm],10.9,23.4,11.4,11.4,10.9,23.4,11.4,11.4
Centroid WL [nm],370.6,527.4,372.0,488.8,370.6,527.4,372.0,488.8
,,,,,,,,
RGB Values,,,,,,,,
RGB Space,manual,manual,manual,manual,manual,manual,manual,manual
R,0.5,1.5,0.0,1.5,0.5,1.5,0.0,1.5
G,0.6,2.0,0.0,2.0,0.6,2.0,0.0,2.0
B,0.7,2.5,0.0,2.6,0.7,2.5,0.0,2.6
,,,,,,,,
,,,,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
340 nm,,,,,,,,
341 nm,,,,,,,,
342 nm,,,,,,,,
343 nm,,,,,,,,
344 nm,,,,,,,,
345 nm,,,,,,,,
346 nm,,,,,,,,
347 nm,,,,,,,,
348 nm,,,,,,,,
349 nm,,,,,,,,
350 nm,0.00000E+00,4.89155E-08,4.89325E-06,1.70286E-05,0.00000E+00,4.89155E-08,4.89325E-06,1.70286E-05
351 nm,2.58785E-06,3.98240E-06,2.57950E-06,5.54206E-06,2.58785E-06,3.98240E-06,2.57950E-06,5.54206E-06
352 nm,0.00000E+00,0.00000E+00,8.60355E-06,7.04242E-06,0.00000E+00,0.00000E+00,8.60355E-06,7.04242E-06
353 nm,8.40007E-07,1.71548E-06,0.00000E+00,6.94103E-06,8.40007E-07,1.71548E-06,0.00000E+00,6.94103E-06
354 nm,3.67025E-06,2.97016E-06,3.36630E-06,3.34072E-06,3.67025E-06,2.97016E-06,3.36630E-06,3.34072E-06
355 nm,8.12503E-07,5.06956E-07,9.69798E-07,5.61894E-06,8.12503E-07,5.06956E-07,9.69798E-07,5.61894E-06
356 nm,2.12183E-06,5.11615E-06,5.49708E-06,4.19200E-06,2.12183E-06,5.11615E-06,5.49708E-06,4.19200E-06
357 nm,1.01578E-06,1.12732E-07,3.13463E-06,5.42811E-06,1.01578E-06,1.12732E-07,3.13463E-06,5.42811E-06
358 nm,5.12030E-08,4.77017E-08,4.14116E-06,5.79723E-06,5.12030E-08,4.77017E-08,4.14116E-06,5.79723E-06
359 nm,1.96636E-06,3.85373E-07,8.91707E-06,7.32002E-06,1.96636E-06,3.85373E-07,8.91707E-06,7.32002E-06
360 nm,2.67451E-06,2.43895E-06,1.17672E-05,1.38394E-05,2.67451E-06,2.43895E-06,1.17672E-05,1.38394E-05
361 nm,3.71308E-06,6.54662E-07,1.91601E-05,1.86185E-05,3.71308E-06,6.54662E-07,1.91601E-05,1.86185E-05
362 nm,7.15788E-06,2.85069E-08,2.85385E-05,2.68387E-05,7.15788E-06,2.85069E-08,2.85385E-05,2.68387E-05
363 nm,8.73307E-06,3.09561E-08,4.00406E-05,3.81078E-05,8.73307E-06,3.09561E-08,4.00406E-05,3.81078E-05
364 nm,1.21724E-05,1.17605E-06,5.50902E-05,5.14622E-05,1.21724E-05,1.17605E-06,5.50902E-05,5.14622E-05
365 nm,1.46708E-05,1.50555E-07,7.38744E-05,6.96045E-05,1.46708E-05,1.50555E-07,7.38744E-05,6.96045E-05
366 nm,1.93803E-05,0.00000E+00,9.45963E-05,8.90200E-05,1.93803E-05,0.00000E+00,9.45963E-05,8.90200E-05
367 nm,2.19182E-05,3.18946E-07,1.15361E-04,1.07441E-04,2.19182E-05,3.18946E-07,1.15361E-04,1.07441E-04
368 nm,2.44289E-05,5.43779E-07,1.34919E-04,1.29917E-04,2.44289E-05,5.43779E-07,1.34919E-04,1.29917E-04
