,,,
,,,
,,,
Name,lum_balanced,lum_balanced_mso,lum_max
Date,02/26/2015,02/26/2015,02/26/2015
Time,10:41am,10:44am,10:46am
T_int [ms],6497,4519,4590
,,,
Lv [cd/sqm],1.084E+00,2.198E+00,2.185E+00
Le [W/(sr*sqm)] (380-780nm),3.671E-03,7.263E-03,7.380E-03
CCT [K],7373,7865,7900
DWl [nm],483.6,481.3,481.1
PE [%],12.5,14.9,15.0
,,,
Chrom. Coord.,,,
x,0.3011,0.2966,0.2963
y,0.3141,0.3058,0.3051
u',0.1953,0.1952,0.1953
v',0.4584,0.4529,0.4525
,,,
CIE 13.3-1995 CRI,,,
Ref. Illum.,Daylight >7000K,Daylight >7000K,Daylight >7000K
CCT [K],7373,7865,7900
R1,73.4,73.4,73.1
R2,75.1,73.6,73.5
R3,72.8,70.6,70.6
R4,75.6,75.1,75.0
R5,74.4,74.8,74.5
R6,66.9,65.5,65.3
R7,80.1,78.2,78.3
R8,64.9,65.5,65.4
R9,-21.5,-19.9,-20.4
R10,37.5,34.4,34.1
R11,74.4,75.5,75.2
R12,44.3,45.4,45.1
R13,72.8,72.1,71.8
R14,84.4,83.2,83.2
R15,68.5,68.5,68.3
Ra,72.91,72.08,71.97
DC,1.7E-03,3.6E-03,3.5E-03
,,,
PAR,,,
Begin [nm],400,400,400
End [nm],700,700,700
Ephot [umol/s sqm],0.0152,0.0313,0.0312
,,,
Circadian,,,
Lec [W/sr*sqm],0.001,0.003,0.003
acv,0.872,0.916,0.917
CCT [K],7373,7865,7900
,,,
LED Values,,,
Peak WL [nm],371.0,445.0,371.0
Peak FWHM [nm],11.3,23.5,11.3
Centroid WL [nm],474.2,511.5,494.1
,,,
RGB Values,,,
RGB Space,manual,manual,manual
R,0.9,1.7,1.7
G,1.1,2.3,2.3
B,1.3,2.9,2.9
,,,
,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
380 nm,4.44297E-05,1.41218E-05,4.36373E-05
381 nm,3.54862E-05,1.24002E-05,3.65320E-05
382 nm,2.83957E-05,9.18591E-06,2.89624E-05
383 nm,2.29287E-05,6.77092E-06,2.24723E-05
384 nm,1.88303E-05,6.09186E-06,2.00782E-05
385 nm,1.50775E-05,4.95276E-06,1.34099E-05
386 nm,1.15742E-05,4.26945E-06,1.31445E-05
387 nm,9.52511E-06,3.12591E-06,8.84906E-06
388 nm,7.00174E-06,1.39799E-06,7.41877E-06
389 nm,5.50251E-06,1.88957E-06,5.48714E-06
390 nm,4.10700E-06,1.36533E-06,4.80922E-06
391 nm,2.95233E-06,1.39932E-06,2.59286E-06
392 nm,2.83355E-06,9.91440E-07,3.06071E-06
393 nm,2.31949E-06,1.23704E-06,2.15466E-06
394 nm,8.23175E-07,2.86400E-07,1.55778E-06
395 nm,8.99964E-07,2.66776E-07,7.15291E-07
396 nm,4.75830E-07,6.27635E-07,1.41347E-06
397 nm,1.27401E-06,1.54060E-06,1.34697E-06
398 nm,4.97339E-07,9.05448E-07,1.44307E-06
399 nm,2.11806E-07,1.11890E-06,1.08821E-06
400 nm,5.65779E-07,4.24273E-07,5.99443E-07
401 nm,1.12276E-06,3.85747E-07,1.37560E-06
402 nm,1.93874E-07,4.46033E-07,5.51564E-07
403 nm,9.65075E-07,5.08883E-07,1.61192E-06
404 nm,2.76252E-07,1.18519E-06,1.54996E-06
405 nm,8.86928E-07,2.00344E-06,1.28484E-06
406 nm,1.21728E-06,1.74828E-06,1.80753E-06
407 nm,2.58727E-07,1.40847E-06,6.25965E-07
408 nm,1.61403E-06,1.42239E-06,1.94496E-06
409 nm,5.91136E-07,1.75985E-06,2.02720E-06
410 nm,6.26123E-07,1.72920E-06,2.35593E-06
411 nm,5.91375E-07,1.89997E-06,2.09694E-06
412 nm,1.28515E-06,2.66900E-06,2.80678E-06
413 nm,9.05290E-07,3.19234E-06,3.40058E-06
414 nm,1.52771E-06,4.13282E-06,3.56876E-06
415 nm,1.42467E-06,4.26568E-06,4.84471E-06
416 nm,1.59393E-06,6.46132E-06,5.43260E-06
417 nm,2.03242E-06,5.62141E-06,5.79428E-06
418 nm,2.54852E-06,7.62648E-06,7.56588E-06
419 nm,3.13768E-06,8.47829E-06,8.73488E-06
420 nm,3.60041E-06,9.54084E-06,1.00339E-05
421 nm,3.78270E-06,1.15320E-05,1.23109E-05
422 nm,4.39584E-06,1.34919E-05,1.38162E-05
423 nm,4.82083E-06,1.48184E-05,1.52285E-05
424 nm,5.78411E-06,1.72527E-05,1.76039E-05
425 nm,6.74018E-06,1.92886E-05,1.95328E-05
426 nm,8.09973E-06,2.22454E-05,2.20317E-05
427 nm,9.08856E-06,2.51395E-05,2.49202E-05
428 nm,9.95067E-06,2.69403E-05,2.75032E-05
429 nm,1.16852E-05,3.06688E-05,3.07984E-05
430 nm,1.21287E-05,3.41364E-05,3.44628E-05
431 nm,1.41642E-05,3.72454E-05,3.71448E-05
432 nm,1.58532E-05,4.05479E-05,4.06598E-05
433 nm,1.72371E-05,4.48266E-05,4.48265E-05
434 nm,1.99694E-05,4.95442E-05,4.95552E-05
435 nm,2.18517E-05,5.46259E-05,5.36738E-05
436 nm,2.46841E-05,5.89186E-05,5.87981E-05
437 nm,2.66618E-05,6.30772E-05,6.29206E-05
438 nm,2.81046E-05,6.68450E-05,6.66283E-05
439 nm,3.08115E-05,7.17982E-05,7.03484E-05
440 nm,3.23114E-05,7.62622E-05,7.41764E-05
441 nm,3.53290E-05,8.01873E-05,7.94430E-05
442 nm,3.65539E-05,8.34799E-05,8.15685E-05
443 nm,3.90892E-05,8.55871E-05,8.46395E-05
444 nm,4.06499E-05,8.62280E-05,8.56757E-05
445 nm,4.13324E-05,8.79465E-05,8.64831E-05
446 nm,4.19438E-05,8.74504E-05,8.75575E-05
447 nm,4.17965E-05,8.58773E-05,8.51299E-05
448 nm,4.00145E-05,8.22238E-05,8.18690E-05
449 nm,3.91883E-05,7.89536E-05,7.83037E-05
450 nm,3.73137E-05,7.43828E-05,7.42935E-05
451 nm,3.51961E-05,6.99741E-05,6.94698E-05
452 nm,3.30380E-05,6.37366E-05,6.48453E-05
453 nm,2.96340E-05,5.92951E-05,5.88478E-05
454 nm,2.72657E-05,5.41457E-05,5.47068E-05
455 nm,2.51114E-05,4.94876E-05,5.01647E-05
456 nm,2.23021E-05,4.51251E-05,4.49073E-05
457 nm,2.10969E-05,4.09877E-05,4.16080E-05
458 nm,1.83210E-05,3.74647E-05,3.77070E-05
459 nm,1.73767E-05,3.48123E-05,3.50286E-05
460 nm,1.60104E-05,3.21412E-05,3.21714E-05
461 nm,1.54003E-05,2.92133E-05,2.97165E-05
462 nm,1.38915E-05,2.69854E-05,2.80982E-05
463 nm,1.28381E-05,2.53158E-05,2.56898E-05
464 nm,1.20721E-05,2.32028E-05,2.34509E-05
465 nm,1.13596E-05,2.15031E-05,2.23483E-05
466 nm,1.03360E-05,2.06429E-05,2.06821E-05
467 nm,1.01516E-05,1.94377E-05,1.94761E-05
468 nm,9.18568E-06,1.71101E-05,1.76286E-05
469 nm,8.57179E-06,1.62248E-05,1.62774E-05
470 nm,8.18418E-06,1.48071E-05,1.54342E-05
471 nm,7.29474E-06,1.41775E-05,1.45740E-05
472 nm,7.14063E-06,1.30596E-05,1.36569E-05
473 nm,6.58506E-06,1.26507E-05,1.29734E-05
474 nm,6.13133E-06,1.24185E-05,1.24146E-05
475 nm,6.11128E-06,1.11940E-05,1.13814E-05
476 nm,5.71033E-06,1.07695E-05,1.11862E-05
477 nm,5.58762E-06,1.07366E-05,1.03413E-05
478 nm,5.10013E-06,9.86705E-06,1.01872E-05
479 nm,5.34078E-06,9.63068E-06,9.62022E-06
480 nm,5.04985E-06,9.94708E-06,9.60571E-06
481 nm,4.90808E-06,9.93705E-06,9.46923E-06
482 nm,4.87070E-06,9.76490E-06,9.73772E-06
483 nm,4.84803E-06,9.63083E-06,9.57752E-06
484 nm,4.96539E-06,9.87884E-06,9.38178E-06
485 nm,5.03061E-06,9.40982E-06,9.14330E-06
486 nm,5.38108E-06,9.56373E-06,9.97509E-06
487 nm,5.12118E-06,1.02841E-05,1.01687E-05
488 nm,6.13458E-06,1.02990E-05,9.88522E-06
489 nm,4.88058E-06,1.01145E-05,1.05202E-05
490 nm,5.28320E-06,1.06657E-05,1.08900E-05
491 nm,5.53737E-06,1.03765E-05,1.01917E-05
492 nm,6.02823E-06,1.10689E-05,1.10330E-05
493 nm,5.33924E-06,1.10239E-05,1.13784E-05
494 nm,6.10151E-06,1.15833E-05,1.19478E-05
495 nm,6.20806E-06,1.24411E-05,1.20920E-05
496 nm,6.50144E-06,1.32793E-05,1.27902E-05
497 nm,6.86883E-06,1.37416E-05,1.33542E-05
498 nm,6.99041E-06,1.40859E-05,1.42060E-05
499 nm,7.41942E-06,1.44611E-05,1.46859E-05
500 nm,7.42280E-06,1.57366E-05,1.48930E-05
501 nm,7.86789E-06,1.60263E-05,1.68378E-05
502 nm,8.32691E-06,1.73525E-05,1.69953E-05
503 nm,8.78105E-06,1.80619E-05,1.85309E-05
504 nm,9.28958E-06,1.91844E-05,1.91433E-05
505 nm,9.84026E-06,1.98449E-05,1.97237E-05
506 nm,1.02996E-05,2.08866E-05,2.06933E-05
507 nm,1.02024E-05,2.17549E-05,2.14890E-05
508 nm,1.10537E-05,2.20249E-05,2.27437E-05
509 nm,1.14851E-05,2.32543E-05,2.32452E-05
510 nm,1.14608E-05,2.47400E-05,2.45761E-05
511 nm,1.25779E-05,2.60801E-05,2.53529E-05
512 nm,1.27197E-05,2.59413E-05,2.58181E-05
513 nm,1.30523E-05,2.74233E-05,2.70084E-05
514 nm,1.35874E-05,2.79159E-05,2.72469E-05
515 nm,1.40579E-05,2.84291E-05,2.84721E-05
516 nm,1.40287E-05,2.92721E-05,2.89848E-05
517 nm,1.43276E-05,3.00508E-05,2.90943E-05
518 nm,1.49585E-05,3.08240E-05,3.01574E-05
519 nm,1.51346E-05,3.11973E-05,3.11875E-05
520 nm,1.50041E-05,3.13520E-05,3.19408E-05
521 nm,1.53520E-05,3.13869E-05,3.18759E-05
522 nm,1.57794E-05,3.27927E-05,3.24840E-05
523 nm,1.62375E-05,3.32766E-05,3.26880E-05
524 nm,1.62455E-05,3.35405E-05,3.39201E-05
525 nm,1.65230E-05,3.37492E-05,3.34331E-05
526 nm,1.66005E-05,3.40180E-05,3.33958E-05
527 nm,1.67210E-05,3.41856E-05,3.48657E-05
528 nm,1.67447E-05,3.42535E-05,3.45651E-05
529 nm,1.67099E-05,3.55419E-05,3.48540E-05
530 nm,1.69738E-05,3.56616E-05,3.46606E-05
531 nm,1.69398E-05,3.55679E-05,3.49834E-05
532 nm,1.72800E-05,3.54756E-05,3.52923E-05
533 nm,1.73951E-05,3.59507E-05,3.56751E-05
534 nm,1.72204E-05,3.55311E-05,3.56344E-05
535 nm,1.75403E-05,3.60723E-05,3.54671E-05
536 nm,1.73777E-05,3.65887E-05,3.63356E-05
537 nm,1.78898E-05,3.67551E-05,3.61415E-05
538 nm,1.80417E-05,3.68609E-05,3.65413E-05
539 nm,1.92760E-05,3.77305E-05,3.71171E-05
540 nm,1.96085E-05,3.84706E-05,3.81547E-05
541 nm,2.09989E-05,3.92443E-05,3.85906E-05
542 nm,2.14120E-05,3.96887E-05,4.01151E-05
543 nm,2.14447E-05,4.05538E-05,4.10820E-05
544 nm,2.23612E-05,4.13559E-05,4.05576E-05
545 nm,2.20031E-05,4.13608E-05,4.12608E-05
546 nm,2.12881E-05,4.06608E-05,4.00431E-05
547 nm,2.06827E-05,3.96395E-05,3.86730E-05
548 nm,1.99651E-05,3.85564E-05,3.88751E-05
549 nm,1.91882E-05,3.84983E-05,3.80116E-05
550 nm,1.85121E-05,3.72589E-05,3.72495E-05
551 nm,1.85414E-05,3.70824E-05,3.70420E-05
552 nm,1.81389E-05,3.71145E-05,3.62635E-05
553 nm,1.78825E-05,3.66441E-05,3.66249E-05
554 nm,1.77996E-05,3.66357E-05,3.58992E-05
555 nm,1.71910E-05,3.61162E-05,3.58208E-05
556 nm,1.70672E-05,3.57817E-05,3.56918E-05
557 nm,1.74983E-05,3.58966E-05,3.55827E-05
558 nm,1.69980E-05,3.57040E-05,3.57591E-05
559 nm,1.69046E-05,3.57746E-05,3.54989E-05
560 nm,1.67880E-05,3.51336E-05,3.58040E-05
561 nm,1.65822E-05,3.53858E-05,3.51820E-05
562 nm,1.69736E-05,3.54993E-05,3.46086E-05
563 nm,1.67703E-05,3.51333E-05,3.55275E-05
564 nm,1.67579E-05,3.48064E-05,3.40692E-05
565 nm,1.64726E-05,3.45483E-05,3.46783E-05
566 nm,1.70214E-05,3.42225E-05,3.39379E-05
567 nm,1.64185E-05,3.43173E-05,3.45865E-05
568 nm,1.64085E-05,3.45820E-05,3.41342E-05
569 nm,1.62827E-05,3.42139E-05,3.40102E-05
570 nm,1.65115E-05,3.37750E-05,3.36990E-05
571 nm,1.64307E-05,3.39038E-05,3.39001E-05
572 nm,1.63580E-05,3.39848E-05,3.38630E-05
573 nm,1.59806E-05,3.35930E-05,3.36717E-05
574 nm,1.60600E-05,3.29359E-05,3.35322E-05
575 nm,1.63868E-05,3.37463E-05,3.36679E-05
576 nm,1.61652E-05,3.36900E-05,3.35884E-05
577 nm,1.61568E-05,3.35649E-05,3.28804E-05
578 nm,1.62409E-05,3.35894E-05,3.30501E-05
579 nm,1.66717E-05,3.35929E-05,3.26783E-05
580 nm,1.62613E-05,3.30996E-05,3.25941E-05
581 nm,1.65804E-05,3.30302E-05,3.34228E-05
582 nm,1.59688E-05,3.30185E-05,3.21181E-05
583 nm,1.62668E-05,3.27794E-05,3.24129E-05
584 nm,1.55312E-05,3.28878E-05,3.22811E-05
585 nm,1.61926E-05,3.25031E-05,3.20921E-05
586 nm,1.61197E-05,3.21562E-05,3.26202E-05
587 nm,1.56557E-05,3.15757E-05,3.17234E-05
588 nm,1.53742E-05,3.08734E-05,3.07003E-05
589 nm,1.53340E-05,3.10123E-05,3.06575E-05
590 nm,1.50179E-05,3.04366E-05,3.05230E-05
591 nm,1.49072E-05,2.98980E-05,2.96777E-05
592 nm,1.47539E-05,3.01662E-05,2.99898E-05
593 nm,1.42766E-05,2.95154E-05,2.95946E-05
594 nm,1.42949E-05,2.89509E-05,2.87418E-05
595 nm,1.36324E-05,2.85190E-05,2.82170E-05
596 nm,1.38666E-05,2.83912E-05,2.83380E-05
597 nm,1.36823E-05,2.81643E-05,2.81146E-05
598 nm,1.38422E-05,2.74434E-05,2.75044E-05
599 nm,1.32740E-05,2.68184E-05,2.71913E-05
600 nm,1.33415E-05,2.66037E-05,2.62572E-05
601 nm,1.29601E-05,2.65569E-05,2.63060E-05
602 nm,1.24477E-05,2.59775E-05,2.55224E-05
603 nm,1.27726E-05,2.56523E-05,2.50232E-05
604 nm,1.25525E-05,2.47765E-05,2.46760E-05
605 nm,1.17254E-05,2.49320E-05,2.42867E-05
606 nm,1.19764E-05,2.46043E-05,2.43094E-05
607 nm,1.21550E-05,2.51452E-05,2.43733E-05
608 nm,1.26718E-05,2.47029E-05,2.47248E-05
609 nm,1.35996E-05,2.60231E-05,2.60647E-05
610 nm,1.50596E-05,2.71365E-05,2.70422E-05
611 nm,1.53887E-05,2.72364E-05,2.69370E-05
612 nm,1.52453E-05,2.64114E-05,2.60298E-05
613 nm,1.41039E-05,2.51565E-05,2.50227E-05
614 nm,1.32478E-05,2.43275E-05,2.42569E-05
615 nm,1.22772E-05,2.27857E-05,2.28556E-05
616 nm,1.13319E-05,2.18690E-05,2.19611E-05
617 nm,1.07160E-05,2.11781E-05,2.13372E-05
618 nm,1.01722E-05,2.10738E-05,2.05087E-05
619 nm,1.04147E-05,1.99001E-05,2.03218E-05
620 nm,1.02603E-05,2.00617E-05,1.96553E-05
621 nm,9.78025E-06,1.92991E-05,1.98770E-05
622 nm,9.52329E-06,1.91964E-05,1.84140E-05
623 nm,9.00619E-06,1.84148E-05,1.83621E-05
624 nm,9.00666E-06,1.79497E-05,1.76642E-05
625 nm,8.82481E-06,1.75628E-05,1.72861E-05
